name,type,imdb_score,genre,encoded_type,encoded_genre
Dave Foley,MOVIE,7.7,comedy,0,3
Eric Idle,MOVIE,7.7,comedy,0,3
Nick Rhodes,MOVIE,7.7,comedy,0,3
Toddy Walters,MOVIE,7.7,comedy,0,3
Stewart Copeland,MOVIE,7.7,comedy,0,3
Stanley G. Sawicki,MOVIE,7.7,comedy,0,3
Chase Holt,MOVIE,7.7,comedy,0,3
Mike Judge,MOVIE,7.7,comedy,0,3
Howard McGillin,MOVIE,7.7,comedy,0,3
Trey Parker,MOVIE,7.7,comedy,0,3
Anjelica Huston,MOVIE,6.8,comedy,0,3
Raul Julia,MOVIE,6.8,comedy,0,3
Christopher Lloyd,MOVIE,6.8,comedy,0,3
Joan Cusack,MOVIE,6.8,comedy,0,3
Christina Ricci,MOVIE,6.8,comedy,0,3
Carol Kane,MOVIE,6.8,comedy,0,3
Jimmy Workman,MOVIE,6.8,comedy,0,3
Kaitlyn Hooper,MOVIE,6.8,comedy,0,3
Kristen Hooper,MOVIE,6.8,comedy,0,3
Carel Struycken,MOVIE,6.8,comedy,0,3
David Krumholtz,MOVIE,6.8,comedy,0,3
Christopher Hart,MOVIE,6.8,comedy,0,3
Dana Ivey,MOVIE,6.8,comedy,0,3
Peter MacNicol,MOVIE,6.8,comedy,0,3
Christine Baranski,MOVIE,6.8,comedy,0,3
Mercedes McNab,MOVIE,6.8,comedy,0,3
Sam McMurray,MOVIE,6.8,comedy,0,3
Harriet Sansom Harris,MOVIE,6.8,comedy,0,3
Julie Halston,MOVIE,6.8,comedy,0,3
Barry Sonnenfeld,MOVIE,6.8,comedy,0,3
Nathan Lane,MOVIE,6.8,comedy,0,3
John Franklin,MOVIE,6.8,comedy,0,3
Charles Busch,MOVIE,6.8,comedy,0,3
Laura Esterman,MOVIE,6.8,comedy,0,3
Maureen Sue Levin,MOVIE,6.8,comedy,0,3
Darlene Levin,MOVIE,6.8,comedy,0,3
Carol Hankins,MOVIE,6.8,comedy,0,3
Steven M. Martin,MOVIE,6.8,comedy,0,3
Douglas Brian Martin,MOVIE,6.8,comedy,0,3
