release_year,imdb_score,encoded_type,encoded_genre
1957,5.5,0,18
1963,6.3,0,6
1980,6.1,0,6
1979,5.1,0,1
1967,4.3,0,6
1951,5.5,0,3
1963,4.5,0,9
1952,5.9,0,6
1975,6.1,0,3
1957,5.5,0,18
1952,5.3,0,3
1953,4.4,0,6
1955,3.0,0,11
1957,5.1,0,4
1967,6.4,0,5
1976,4.1,0,1
1975,3.1,0,18
1969,7.6,0,5
1966,5.0,0,1
1956,6.2,0,18
1951,5.0,0,6
1956,5.8,0,18
1972,4.4,0,18
1976,5.0,0,16
1977,6.1,0,6
1954,5.8,0,18
1951,5.7,0,3
1961,5.5,0,4
1953,5.7,0,18
1956,5.9,0,1
1953,6.3,0,18
1951,5.1,0,18
1953,4.7,0,13
1955,6.2,0,5
1961,5.2,0,6
1957,6.1,0,18
1960,5.0,0,6
1951,5.6,0,18
1956,5.5,0,18
1975,5.7,0,3
1957,5.6,0,18
1960,5.6,0,18
1955,6.4,0,5
1960,5.1,0,18
1974,6.8,0,1
1986,6.9,0,6
1990,8.8,1,6
1987,8.7,1,1
1981,8.4,0,1
1987,7.3,0,3
1982,7.9,1,3
1989,8.2,0,1
1986,7.8,0,3
1989,7.3,0,6
1986,7.0,0,6
1984,7.5,0,1
1986,6.6,0,3
1985,7.7,1,1
1988,7.6,0,3
1984,6.6,0,13
1990,6.4,1,6
1982,7.2,1,3
1983,6.5,0,6
1982,6.9,0,16
1990,7.5,0,6
1988,7.3,1,12
1990,5.9,0,16
1982,7.7,0,16
1982,7.0,0,6
1981,6.7,0,17
1983,6.7,1,7
1989,6.6,0,16
1986,5.9,0,8
1985,6.3,0,10
1987,7.0,0,13
1985,6.2,0,6
1986,7.3,0,14
1990,7.1,1,2
1981,6.3,0,4
1986,6.1,0,13
1988,7.1,0,6
1987,6.7,0,6
1987,7.6,0,3
1989,7.2,1,18
1984,5.8,0,6
1990,4.9,0,10
1985,6.8,0,1
1985,4.3,0,10
1984,5.3,0,8
1986,6.5,0,16
1984,6.6,0,16
1987,3.3,1,6
1988,7.4,1,7
1989,5.4,0,14
1981,4.9,0,10
1990,5.7,0,3
1986,4.9,0,3
1990,4.6,0,16
1985,4.7,0,1
1989,6.4,0,3
1984,5.1,0,4
1981,4.7,0,8
1985,6.3,0,8
1984,5.5,0,3
1987,6.5,0,8
1987,4.4,0,3
1988,8.0,0,5
1988,6.4,0,6
1983,4.7,0,14
1983,4.9,0,10
1988,6.6,0,6
1982,4.5,0,10
1986,5.6,0,16
1985,5.0,0,16
1987,5.3,0,4
1989,7.3,1,8
1987,5.3,0,3
1985,4.9,0,10
1985,3.4,0,6
1984,5.6,0,6
1986,5.1,0,6
1987,5.6,0,16
1986,3.5,0,14
1985,5.2,0,3
1988,3.6,0,6
1984,5.5,0,13
1985,5.3,0,6
1985,4.8,0,16
1986,5.5,0,1
1985,6.2,0,6
1989,4.5,0,10
1987,5.2,0,16
1988,5.4,0,13
1985,3.9,0,16
1984,6.7,0,6
1989,6.7,0,3
1988,5.6,0,16
1990,4.8,0,3
1986,4.9,0,1
1988,4.8,0,3
1986,3.3,0,16
1987,6.8,1,2
1988,6.6,0,6
1984,6.1,0,6
1988,3.0,0,10
1982,6.2,0,6
1986,3.6,0,3
1988,3.2,0,16
1990,2.7,0,8
1986,5.7,0,6
1989,3.9,0,1
1989,6.2,0,13
1985,5.9,0,6
1989,4.6,0,1
1988,5.9,0,6
1984,5.4,0,3
1981,4.6,0,6
1987,4.1,0,16
1982,6.0,0,6
1989,6.0,0,16
1984,4.7,0,16
1983,3.3,0,3
1982,6.4,0,6
1983,5.6,0,16
1989,5.8,0,4
1983,5.1,0,1
1990,7.2,0,6
1985,6.0,0,4
1989,6.2,0,6
1987,4.4,0,4
1987,4.0,0,1
1989,4.4,0,1
1981,5.3,0,6
1988,5.6,0,3
1986,5.4,0,6
1986,6.0,0,3
1988,4.7,0,3
1985,4.7,0,6
1984,5.1,0,10
1981,5.4,0,4
1988,3.9,0,16
1981,6.1,0,4
1987,4.0,0,3
1987,5.7,0,6
1986,6.6,0,6
2000,7.4,1,12
1997,7.6,0,16
1999,8.2,1,14
1994,8.9,0,16
1997,7.9,0,6
1993,8.2,1,3
2000,6.7,0,6
1994,8.8,0,13
2000,8.5,0,6
2000,7.3,1,3
1997,7.3,0,16
1995,7.8,1,14
1998,8.6,0,6
1999,7.4,0,14
1999,8.7,1,6
1996,7.1,0,16
1993,8.1,1,14
1998,7.8,1,12
1995,7.1,0,3
1994,8.5,0,4
1993,7.5,1,3
1993,8.1,0,3
1999,7.3,0,8
2000,6.2,0,3
2000,7.7,1,6
1993,6.8,1,14
1992,7.4,0,10
1994,7.5,0,8
1997,8.1,1,2
1991,7.5,1,2
1992,6.2,1,12
1991,7.5,1,14
1994,7.7,0,3
1999,6.1,1,1
1997,8.6,0,6
1999,8.1,1,3
1999,7.2,0,13
1996,7.3,0,16
1998,7.1,0,3
1996,6.7,1,14
1996,6.9,1,3
1993,6.2,1,1
1992,8.2,1,6
1992,7.6,1,1
1991,6.8,0,16
2000,7.2,0,6
2000,6.1,0,16
1995,6.6,1,1
1993,6.5,0,6
1999,7.3,0,3
1995,5.3,0,8
1996,8.3,1,3
1991,6.9,0,3
2000,4.2,1,1
1996,6.4,0,3
1999,7.7,0,3
1993,6.8,0,3
1996,7.6,1,2
1992,6.8,0,16
1997,7.3,0,6
1993,7.9,1,14
1994,6.9,0,16
1991,7.2,0,6
1998,6.6,1,3
1999,6.8,1,2
1991,6.8,0,4
1993,6.2,0,3
1998,6.2,0,14
1992,5.9,1,6
1996,6.8,0,2
1991,6.6,0,3
1999,5.5,1,2
1994,5.9,1,14
1997,6.6,0,6
1991,7.8,1,14
1997,6.2,0,13
1996,5.2,1,6
2000,5.4,1,12
1991,8.3,1,3
1995,6.3,0,16
1999,5.0,0,10
1996,7.6,0,14
1995,5.5,0,14
1995,6.2,1,3
1998,6.9,1,3
1991,6.9,0,4
1995,7.3,1,1
1991,7.2,0,14
1995,6.3,0,13
1994,7.2,1,14
1994,6.6,0,1
2000,6.0,0,1
1994,7.5,0,6
1998,5.8,0,10
1993,8.1,1,12
1995,6.0,0,7
1996,6.5,0,16
1998,8.0,1,5
1997,7.2,1,2
1996,5.7,0,16
1994,6.5,0,4
1994,7.5,1,3
1999,5.4,0,13
1995,5.2,0,10
1991,7.1,1,3
1998,6.5,1,3
1999,6.4,0,6
1994,6.2,0,6
1991,6.7,0,13
1994,7.2,1,16
1999,6.7,1,3
2000,6.9,1,3
1995,4.6,0,3
1996,5.7,1,6
1998,5.8,0,6
1993,6.3,0,6
1994,6.2,1,3
2000,4.9,0,16
1996,7.8,1,3
1998,6.4,0,14
1991,5.7,0,1
1999,7.3,1,2
1996,4.6,0,16
1996,6.7,0,6
1996,5.3,0,1
1996,7.8,1,2
2000,5.8,0,13
1997,6.4,0,16
1996,5.9,0,16
1997,4.9,0,16
1996,5.6,0,16
1999,5.5,0,13
1994,7.4,1,7
1994,5.6,0,16
1997,7.0,1,2
1994,6.7,1,7
2000,8.0,1,5
1998,6.7,0,13
1999,5.2,0,16
1995,6.4,0,5
1999,6.0,0,2
1992,7.4,1,7
1998,6.7,0,6
1998,5.4,1,12
1993,5.0,0,6
1995,5.6,0,6
1998,4.5,0,16
1994,3.8,0,16
1997,5.0,0,18
1996,5.3,0,6
1998,5.9,0,4
1992,5.5,0,6
1996,4.1,0,16
1992,5.5,0,3
1996,5.6,0,6
1991,5.8,0,6
1994,3.9,0,16
1998,5.5,0,6
1992,5.6,0,3
1991,4.0,0,16
1995,8.2,0,5
1999,6.0,0,13
1996,4.0,0,16
1998,4.0,0,16
1991,6.2,0,1
1992,5.3,0,6
1996,8.0,1,2
2009,8.5,1,12
2004,7.1,0,3
2005,8.1,1,16
2003,7.8,1,1
2001,7.8,1,12
2010,7.7,1,6
2008,7.0,0,3
2009,7.9,0,1
2005,6.5,0,16
2004,7.1,0,3
2005,9.3,1,14
2009,6.7,1,1
2002,8.1,0,6
2003,7.9,1,3
2009,7.7,0,6
2001,7.2,1,14
2004,6.3,1,2
2002,6.6,0,1
2001,7.5,1,1
2009,8.4,1,6
2002,7.7,0,16
2008,7.8,0,8
2004,7.7,0,16
2009,7.0,0,13
2010,7.4,1,6
2003,8.8,1,3
2002,7.1,0,10
2010,7.3,1,3
2009,6.6,0,6
2001,8.4,1,14
2004,7.1,1,14
2010,6.4,0,13
2007,6.7,1,3
2010,6.9,1,3
2008,7.3,0,13
2006,7.0,0,3
2001,7.3,0,6
2001,5.3,0,3
2009,7.3,0,1
2004,7.7,1,3
2005,7.5,1,3
2002,6.4,1,6
2004,7.4,0,3
2002,7.0,1,1
2004,7.1,0,8
2002,7.1,0,1
